site,16:1(n-5),"18:2,9,12 cis",18:3w3,"18:2w6,9cis",18:2w6,20:4w6,"18:3w3,6,9",16:1w9cis,18:1(n-12),15,20,24,18
Augcid1,0,0,0,0,0,0,0,0,0,0,1,0,1
Augcid2,0,0,0,0,0,0,0,0,0,0,1,0,0
Augcisu1,0,0,0,1,0,0,0,0,0,0,1,1,1
Augcisu2,0,0,0,0,0,1,0,0,0,0,0,0,0
Augcld1,0,1,1,0,0,0,0,0,0,0,0,0,1
Augcld2,0,0,0,1,0,1,0,0,0,0,0,0,1
Augclsu1,0,1,1,0,0,0,0,0,0,0,1,0,1
Augclsu2,0,1,0,0,0,0,0,0,0,0,1,0,1
Augclsu3,0,0,0,1,0,0,0,0,0,0,1,0,1
Augclsu4,0,0,0,0,0,0,0,0,0,0,1,0,1
Augrld2,0,1,0,0,0,0,0,0,0,0,1,0,1
Augrlsu1,0,0,1,1,0,1,0,0,0,0,1,1,0
Augrlsu2,0,0,0,1,0,0,0,0,1,0,1,0,1
Augsid1,0,0,0,0,0,0,0,0,0,0,1,0,1
Augsisu1,0,1,0,0,0,0,0,0,0,0,0,0,1
Augsisu2,0,1,0,0,0,0,0,0,0,0,1,1,1
Augsisu3,0,0,1,1,0,0,0,0,0,0,1,0,1
Augsisu4,0,0,0,1,0,0,0,0,1,0,1,0,1
Augsld1,0,1,0,0,0,0,0,0,0,0,1,0,1
Augsld2,0,0,1,0,0,1,0,0,0,0,1,0,0
Augslsu1,0,1,0,0,0,0,0,0,0,0,0,0,0
