site,treat,loc,depth,d13c_mean,d15n_mean,c_mean,n_mean,microbial.C_mean,d13c_std.error,d15n_std.error,c_std.error,n_std.error,microbial.C_std.error
Augcid1,c,i,d,-26.7425,-2.1475,3.347112975,0.916365725,0.844887914,0.620757266,0.89392743,0.704717796,0.341699206,0.28675792
Augcid2,c,i,d,-26.7425,-2.1475,3.347112975,0.916365725,0.844887914,0.620757266,0.89392743,0.704717796,0.341699206,0.28675792
Augcisu1,c,i,su,-26.2075,-2.0075,2.420814575,0.4603642,0.847075214,0.980088219,0.809756908,0.627897864,0.163230692,0.326129057
Augcisu2,c,i,su,-26.2075,-2.0075,2.420814575,0.4603642,0.847075214,0.980088219,0.809756908,0.627897864,0.163230692,0.326129057
Augcld1,c,l,d,-26.4425,-2.0525,4.81388085,0.453319425,0.936127025,0.338560064,0.408602802,1.078249456,0.114294675,0.292945845
Augcld2,c,l,d,-26.4425,-2.0525,4.81388085,0.453319425,0.936127025,0.338560064,0.408602802,1.078249456,0.114294675,0.292945845
Augclsu1,c,l,su,-27.305,-2.2625,4.1628686,0.600727575,0.918039922,0.616421122,0.521861652,1.531646391,0.256357578,0.335001801
Augclsu2,c,l,su,-27.305,-2.2625,4.1628686,0.600727575,0.918039922,0.616421122,0.521861652,1.531646391,0.256357578,0.335001801
Augclsu3,c,l,su,-27.305,-2.2625,4.1628686,0.600727575,0.918039922,0.616421122,0.521861652,1.531646391,0.256357578,0.335001801
Augclsu4,c,l,su,-27.305,-2.2625,4.1628686,0.600727575,0.918039922,0.616421122,0.521861652,1.531646391,0.256357578,0.335001801
Augrld2,r,l,d,-27.435,-1.3825,2.3909829,0.87332565,0.564554514,0.32172711,0.488336888,1.022509931,0.307582855,0.097593921
Augrlsu1,r,l,su,-26.5475,-1.7425,3.247229125,0.556263025,0.790173418,0.597597621,0.315446113,0.597826807,0.144266604,0.327586199
Augrlsu2,r,l,su,-26.5475,-1.7425,3.247229125,0.556263025,0.790173418,0.597597621,0.315446113,0.597826807,0.144266604,0.327586199
Augsid1,s,i,d,-27.11,-2.445,3.4267656,1.129561425,0,0.507461,1.008930952,0.693189146,0.682575392,0
Augsisu1,s,i,su,-27.0275,-2.82,2.489623725,0.35736395,1.830319198,0.52587031,0.78722085,0.91726195,0.125304712,0.266074917
Augsisu2,s,i,su,-27.0275,-2.82,2.489623725,0.35736395,1.830319198,0.52587031,0.78722085,0.91726195,0.125304712,0.266074917
Augsisu3,s,i,su,-27.0275,-2.82,2.489623725,0.35736395,1.830319198,0.52587031,0.78722085,0.91726195,0.125304712,0.266074917
Augsisu4,s,i,su,-27.0275,-2.82,2.489623725,0.35736395,1.830319198,0.52587031,0.78722085,0.91726195,0.125304712,0.266074917
Augsld1,s,l,d,-27.19,-2.325,5.6362699,0.9621383,2.046931224,0.495462747,0.872300598,1.853925243,0.479371307,0.234726898
Augsld2,s,l,d,-27.19,-2.325,5.6362699,0.9621383,2.046931224,0.495462747,0.872300598,1.853925243,0.479371307,0.234726898
Augslsu1,s,l,su,-27.74,-1.6705,0.224561175,0.55519365,1.774823679,0.264795519,0.29720826,0.173873239,0.046580872,0.165193096
