month,block,treat,loc,depth,site,d13c,c,d15n,n,microbial.C
Aug,1,Control,Interspace,Depth (10cm),aug1cid,-25.27,2.9822241,-4.81,0.152295,0.54
Aug,1,Control,Interspace,Surface,aug1cisu,-23.47,4.2789584,-0.01,0.6474117,0.558545226
Aug,1,Control,Under Lupine,Depth (10cm),aug1cld,-25.73,6.0101284,-1.66,0.4728725,0.562429417
Aug,1,Control,Under Lupine,Surface,aug1clsu,-25.57,1.7116744,-3.24,0.1873979,0.546311706
Aug,1,Lupine Rem.,Interspace,Depth (10cm),aug1rid,-25.4,0.012345,-1,0.3422,0
Aug,1,Lupine Rem.,Interspace,Surface,aug1risu,-26.16,3.9672125,-2.43,0.7925739,0
Aug,1,Lupine Rem.,Under Lupine,Depth (10cm),aug1rld,-28.4,0.23571,-0.32,1.6315112,0.8
Aug,1,Lupine Rem.,Under Lupine,Surface,aug1rlsu,-27.86,1.4948869,-1.08,0.9677358,0.671937231
Aug,1,Herbiv.Exc,Interspace,Depth (10cm),aug1sid,-26,3.6591926,-3,1.0395095,0
Aug,1,Herbiv.Exc,Interspace,Surface,aug1sisu,-25.87,1.2773327,-4.09,0.1549603,2.3
Aug,1,Herbiv.Exc,Under Lupine,Depth (10cm),aug1sld,-26.1,3.111982,-3.55,0.3113958,1.7
Aug,2,Control,Interspace,Depth (10cm),aug2cid,-26.28,4.6875506,-1.33,1.8083067,0.55
Aug,2,Control,Interspace,Surface,aug2cisu,-26.22,2.076479,-3.97,0.2012438,0.42
Aug,2,Control,Under Lupine,Depth (10cm),aug2cld,-26.39,6.1479305,-2.78,0.5120318,0.8
Aug,2,Control,Under Lupine,Surface,aug2clsu,-28.19,2.0237306,-0.99,1.3131466,0.783358082
Aug,2,Lupine Rem.,Interspace,Depth (10cm),aug2rid,-26.8,0.9551956,-1.59,0.6366368,0
Aug,2,Lupine Rem.,Interspace,Surface,aug2risu,-26.74,4.7020372,-3.34,0.4354126,0
Aug,2,Lupine Rem.,Under Lupine,Depth (10cm),aug2rld,-27.13,4.6187203,-2.62,0.401332,0.6
Aug,2,Lupine Rem.,Under Lupine,Surface,aug2rlsu,-25,4.1745221,-1.33,0.3020242,0.4
Aug,2,Herbiv.Exc,Interspace,Depth (10cm),aug2sid,-26.61,1.4143065,-4.6,0.0984166,0
Aug,2,Herbiv.Exc,Interspace,Surface,aug2sisu,-26.55,5.1637013,-2.34,0.4318252,2.281276793
Aug,2,Herbiv.Exc,Under Lupine,Depth (10cm),aug2sld,-26.72,3.7359235,-3.92,0.2748784,1.587724897
Aug,2,Herbiv.Exc,Under Lupine,Surface,aug2slsu,-28.53,0.04556,-2.56,0.43256,1.799294717
Aug,3,Control,Interspace,Depth (10cm),aug3cid,-27.28,4.1923355,-1.48,0.9347774,1.7046777
Aug,3,Control,Interspace,Surface,aug3cisu,-27.17,1.7475632,-1.91,0.1685259,1.819139058
Aug,3,Control,Under Lupine,Depth (10cm),aug3cld,-27.36,5.4903249,-2.68,0.6879266,1.8
Aug,3,Control,Under Lupine,Surface,aug3clsu,-27.28,8.3330612,-1.84,0.6321815,1.9
Aug,3,Lupine Rem.,Interspace,Depth (10cm),aug3rid,-27.4,1.331168,-1,0.9545739,0
Aug,3,Lupine Rem.,Interspace,Surface,aug3risu,-27.66,0.0783364,-0.86,0.5678169,0
Aug,3,Lupine Rem.,Under Lupine,Depth (10cm),aug3rld,-27.1,1.1432066,-0.99,1.1153987,0.326852092
Aug,3,Lupine Rem.,Under Lupine,Surface,aug3rlsu,-26.93,3.5653238,-2.22,0.4361385,1.748756441
Aug,3,Herbiv.Exc,Interspace,Depth (10cm),aug3sid,-27.52,4.1194707,-2.43,0.295348,0
Aug,3,Herbiv.Exc,Interspace,Surface,aug3sisu,-27.39,2.2102188,-4.05,0.1627632,1.4
Aug,3,Herbiv.Exc,Under Lupine,Depth (10cm),aug3sld,-27.57,11.1252031,-1.66,0.9359255,2.5
Aug,3,Herbiv.Exc,Under Lupine,Surface,aug3slsu,-27.53,0.0724917,-1.345,0.6202014,2
Aug,4,Control,Interspace,Depth (10cm),aug4cid,-28.14,1.5263417,-0.97,0.7700838,0.584873954
Aug,4,Control,Interspace,Surface,aug4cisu,-27.97,1.5802577,-2.14,0.8242754,0.59061657
Aug,4,Control,Under Lupine,Depth (10cm),aug4cld,-26.29,1.6071396,-1.09,0.1404468,0.582078683
Aug,4,Control,Under Lupine,Surface,aug4clsu,-28.18,4.5830082,-2.98,0.2701843,0.442489899
Aug,4,Lupine Rem.,Interspace,Depth (10cm),aug4rid,-28.4,0.017753,-0.16,3.0325767,0
Aug,4,Lupine Rem.,Interspace,Surface,aug4risu,-26.48,1.1415193,-1.04,0.9357022,0
Aug,4,Lupine Rem.,Under Lupine,Depth (10cm),aug4rld,-27.11,3.5662947,-1.6,0.3450607,0.531365963
Aug,4,Lupine Rem.,Under Lupine,Surface,aug4rlsu,-26.4,3.7541837,-2.34,0.5191536,0.34
Aug,4,Herbiv.Exc,Interspace,Depth (10cm),aug4sid,-28.31,4.5140926,0.25,3.0849716,0
Aug,4,Herbiv.Exc,Interspace,Surface,aug4sisu,-28.3,1.3072421,-0.8,0.6799071,1.34
Aug,4,Herbiv.Exc,Under Lupine,Depth (10cm),aug4sld,-28.37,4.571971,-0.17,2.3263535,2.4
Aug,4,Herbiv.Exc,Under Lupine,Surface,aug4slsu,-27.5,0.745633,-1.345,0.6345632,1.3
