site,16:1(n-5),"18:2,9,12 cis",18:3w3,"18:2w6,9cis",18:2w6,20:4w6,"18:3w3,6,9",16:1w9cis,18:1(n-12),15,20,24,18
aug1cid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1cisu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1cld,0,1,1,0,0,0,0,0,0,0,0,0,1
aug1clsu,0,1,1,0,0,0,0,0,0,0,1,0,1
aug1rid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1risu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1rld,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1rlsu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1sid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug1sisu,0,1,0,0,0,0,0,0,0,0,0,0,1
aug1sld,0,0,0,0,0,0,0,0,0,0,0,0,0
aug2cid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug2cisu,0,0,0,1,0,0,0,0,0,0,1,1,1
aug2cld,0,0,0,0,0,0,0,0,0,0,0,0,0
aug2clsu,0,1,0,0,0,0,0,0,0,0,1,0,1
aug2rid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug2risu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug2rld,0,1,0,0,0,0,0,0,0,0,1,0,1
aug2rlsu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug2sid,0,0,0,0,0,0,0,0,0,0,1,0,1
aug2sisu,0,1,0,0,0,0,0,0,0,0,1,1,1
aug2sld,0,1,0,0,0,0,0,0,0,0,1,0,1
aug2slsu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug3cid,0,0,0,0,0,0,0,0,0,0,1,0,1
aug3cisu,0,0,0,0,0,1,0,0,0,0,0,0,0
aug3cld,0,0,0,1,0,1,0,0,0,0,0,0,1
aug3clsu,0,0,0,1,0,0,0,0,0,0,1,0,1
aug3rid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug3risu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug3rld,0,0,0,0,0,0,0,0,0,0,0,0,1
aug3rlsu,0,0,1,1,0,1,0,0,0,0,1,1,0
aug3sid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug3sisu,0,0,1,1,0,0,0,0,0,0,1,0,1
aug3sld,0,0,0,0,0,0,0,0,0,0,0,0,0
aug3slsu,0,1,0,0,0,0,0,0,0,0,0,0,0
aug4cid,0,0,0,0,0,0,0,0,0,0,1,0,0
aug4cisu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug4cld,0,0,0,0,0,0,0,0,0,0,0,0,0
aug4clsu,0,0,0,0,0,0,0,0,0,0,1,0,1
aug4rid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug4risu,0,0,0,0,0,0,0,0,0,0,0,0,0
aug4rld,0,0,0,0,0,0,0,0,0,0,0,0,0
aug4rlsu,0,0,0,1,0,0,0,0,1,0,1,0,1
aug4sid,0,0,0,0,0,0,0,0,0,0,0,0,0
aug4sisu,0,0,0,1,0,0,0,0,1,0,1,0,1
aug4sld,0,0,1,0,0,1,0,0,0,0,1,0,0
aug4slsu,0,0,0,0,0,0,0,0,0,0,0,0,0
