site,16_1_n_5,18_2_9_12 cis,18_3w3,18_2w6_9cis,18_2w6,20_4w6,183w3_6_9,16_1w9cis,18_1_n_12_,15,20,24,18
july1cid,0,0,0,0,0,0,0,0,0,1,1,1,0
july1cisu,0,0,1,1,0,0,0,0,0,0,1,1,1
july1cld,0,0,0,0,1,1,0,0,0,0,0,0,0
july1clsu,0,0,0,1,0,0,0,0,0,0,0,0,0
july1rid,0,0,0,0,0,0,0,0,0,0,0,0,0
july1risu,0,0,0,0,0,0,0,0,0,0,0,0,0
july1rld,0,0,0,0,0,0,0,0,0,0,1,0,0
july1rlsu,0,0,0,0,0,0,0,0,0,0,0,0,0
july1sid,0,0,0,0,0,0,0,0,0,0,0,0,0
july1sisu,0,0,0,0,0,0,0,0,0,0,0,0,0
july1sld,1,1,1,0,0,0,0,0,0,0,0,0,0
july1slsu,0,1,0,0,0,0,0,0,0,0,0,0,0
july2cid,0,0,1,0,0,0,0,0,0,0,0,1,1
july2cisu,0,1,0,1,0,1,0,0,0,0,0,0,1
july2cld,0,0,0,0,0,1,0,0,0,0,0,0,1
july2clsu,0,0,1,1,0,1,0,0,0,0,0,1,1
july2rid,0,0,0,0,0,0,0,0,0,0,0,0,0
july2risu,0,0,0,0,0,0,0,0,0,0,0,0,0
july2rld,0,0,0,0,0,0,0,0,0,0,0,0,0
july2rlsu,0,0,0,0,0,0,0,0,0,0,0,0,0
july2sid,0,0,0,0,0,0,0,0,0,0,0,0,0
july2sisu,0,0,0,1,0,0,0,0,0,1,0,0,0
july2sld,0,0,0,0,0,0,0,0,0,0,0,0,0
july2slsu,0,0,0,0,0,0,0,0,0,0,0,0,0
july3cid,0,0,0,0,0,0,0,0,0,0,0,0,0
july3cisu,0,1,0,0,0,0,0,0,0,1,1,0,1
july3cld,0,0,1,0,0,0,0,0,0,0,0,0,1
july3clsu,0,0,0,0,0,0,0,0,0,0,0,0,0
july3rid,0,0,0,0,0,0,0,0,0,0,0,0,0
july3risu,0,0,0,0,0,0,0,0,0,0,0,0,0
july3rld,0,0,0,0,0,0,0,0,0,0,0,0,0
july3sid,0,1,0,0,0,0,0,0,0,1,0,0,1
july3sisu,0,0,0,0,0,0,1,0,0,0,0,0,0
july3sld,0,1,0,0,0,0,0,0,0,1,0,0,1
july3slsu,0,0,1,1,0,0,0,0,0,1,1,0,0
july4cid,0,0,0,0,0,0,0,0,0,0,0,0,0
july4cisu,0,0,0,0,0,0,0,0,0,0,0,0,0
july4cld,0,0,0,0,0,0,0,0,0,0,0,0,0
july4clsu,0,0,0,1,0,0,0,1,0,0,0,0,0
july4rid,0,0,0,0,0,0,0,0,0,0,0,0,0
july4risu,0,0,0,0,0,0,0,0,0,0,0,0,0
july4rld,0,0,0,0,0,0,0,0,0,0,0,0,0
july4sid,0,0,0,0,0,0,0,0,0,0,1,1,0
july4sisu,0,0,1,1,0,0,0,0,0,0,1,0,1
july4sld,0,0,1,0,0,0,0,0,0,0,0,0,0
july4slsu,0,0,0,0,0,0,0,0,0,0,0,0,0
