site,treat,loc,depth,d13c_mean,d15n_mean,c_mean,n_mean,microbial.C_mean,d13c_std.error,d15n_std.error,c_std.error,n_std.error,microbial.C_std.error
Julycid1,c,i,d,-26.5125,-2.055,3.196149725,0.5395439,1.613022589,0.781508957,0.906545641,0.794569786,0.250050767,0.243434071
Julycid2,c,i,d,-26.5125,-2.055,3.196149725,0.5395439,1.613022589,0.781508957,0.906545641,0.794569786,0.250050767,0.243434071
Julycisu1,c,i,su,-26.14,-2.09,3.4501734,1.093705975,1.356877779,1.024817057,0.51171281,0.634208387,0.488710176,0.262030203
Julycisu2,c,i,su,-26.14,-2.09,3.4501734,1.093705975,1.356877779,1.024817057,0.51171281,0.634208387,0.488710176,0.262030203
Julycisu3,c,i,su,-26.14,-2.09,3.4501734,1.093705975,1.356877779,1.024817057,0.51171281,0.634208387,0.488710176,0.262030203
Julycld1,c,l,d,-26.87,-1.785,3.896575725,0.62190235,1.767420065,0.573032867,0.554459196,1.405718183,0.180432431,0.344092055
Julycld2,c,l,d,-26.87,-1.785,3.896575725,0.62190235,1.767420065,0.573032867,0.554459196,1.405718183,0.180432431,0.344092055
Julycld3,c,l,d,-26.87,-1.785,3.896575725,0.62190235,1.767420065,0.573032867,0.554459196,1.405718183,0.180432431,0.344092055
Julyclsu1,c,l,su,-28.0325,-2.4375,4.625391275,0.482014675,2.486061723,0.631893649,0.356613119,1.739258736,0.158001286,0.546737135
Julyclsu2,c,l,su,-28.0325,-2.4375,4.625391275,0.482014675,2.486061723,0.631893649,0.356613119,1.739258736,0.158001286,0.546737135
Julyclsu3,c,l,su,-28.0325,-2.4375,4.625391275,0.482014675,2.486061723,0.631893649,0.356613119,1.739258736,0.158001286,0.546737135
Julyrld1,r,l,d,-27.1675,-2.6125,4.7872106,0.35582715,2.972820826,0.508861065,0.672723011,1.347925941,0.076405164,1.169035324
Julysid1,s,i,d,-27.0675,-1.765,3.904667075,0.634125425,1.506158957,0.524267346,0.483192508,1.682882301,0.308665105,0.033161226
Julysid2,s,i,d,-27.0675,-1.765,3.904667075,0.634125425,1.506158957,0.524267346,0.483192508,1.682882301,0.308665105,0.033161226
Julysisu1,s,i,su,-26.9675,-2.575,2.381872425,0.4337025,1.384045401,0.538537758,0.681059224,0.533929284,0.257714179,0.239294691
Julysisu2,s,i,su,-26.9675,-2.575,2.381872425,0.4337025,1.384045401,0.538537758,0.681059224,0.533929284,0.257714179,0.239294691
Julysisu3,s,i,su,-26.9675,-2.575,2.381872425,0.4337025,1.384045401,0.538537758,0.681059224,0.533929284,0.257714179,0.239294691
Julysld1,s,l,d,-27.1675,-2.6125,4.7872106,0.35582715,2.972820826,0.508861065,0.672723011,1.347925941,0.076405164,1.169035324
Julysld2,s,l,d,-27.1675,-2.6125,4.7872106,0.35582715,2.972820826,0.508861065,0.672723011,1.347925941,0.076405164,1.169035324
Julysld3,s,l,d,-27.1675,-2.6125,4.7872106,0.35582715,2.972820826,0.508861065,0.672723011,1.347925941,0.076405164,1.169035324
Julyslsu1,s,l,su,-27.1375,-1.7825,4.7588956,0.660445225,2.141196503,0.500872156,0.412621194,1.491001418,0.220087043,0.429833433
Julyslsu2,s,l,su,-27.1375,-1.7825,4.7588956,0.660445225,2.141196503,0.500872156,0.412621194,1.491001418,0.220087043,0.429833433
