site.block,site,block,treatment,subplot,vasc.pct,moss.pct,bare.pct,pct.lup.cov.29Aug,pct.lfmnr.29Aug,vasc.pct.herbsurv,moss.pct.herbsurv,bare.pct.herbsurv,prop.wilt,pct.wilt
E1600N,E1600,N,Control,2333,0.781,2.34375,96.6328125,1.172,91.7,2,7.8125,91,0,0
E1600N,E1600,N,Control,2334,1.25,3.90625,91.75,8.984,60.9,2,7.421875,75,0.175,17.5
E1600N,E1600,N,Control,2335,0.508,2.734375,96.1328125,1.367,71.4,2,12.5,82,0.375,37.5
E1600N,E1600,N,Control,2336,1.914,1.953125,93.7734375,10.547,96.3,3.4,5.859375,73,0.186046512,18.60465116
E1600N,E1600,N,Control,2337,0.586,0.9765625,95.7421875,8.594,72.7,0.8,4.6875,84,0.117647059,11.76470588
E1600N,E1600,N,Control,2338,0.898,1.0546875,97.53125,1.953,80,1.6,6.25,88,0.363636364,36.36363636
E1600N,E1600,N,Control,2339,3.633,1.171875,91.2109375,10.938,78.6,5.6,3.515625,75,0,0
E1600N,E1600,N,Control,2340,3.203,1.0546875,91.7421875,7.813,50,2,4.6875,82,0.407407407,40.74074074
E1600S,E1600,S,Control,2349,0.234,22.65625,76.4375,4.297,95.5,0.4,40,56,0,0
E1600S,E1600,S,Control,2350,2.891,8.984375,88.140625,0.781,25,3.6,28,70,0.5,50
E1600S,E1600,S,Control,2351,0,1.5625,97.9296875,1.563,25,0.4,5.859375,93,0.615384615,61.53846154
E1600S,E1600,S,Control,2352,0.008,3.3203125,95.6953125,0.391,75,0,3.125,96,0,0
E1600S,E1600,S,Control,2353,0.742,2.5390625,96.25,2.539,92.3,1.2,6.25,93,0.25,0
E1600S,E1600,S,Control,2354,1.992,13.671875,84.140625,0.586,66.7,2,35,64,0.4,25
E1600S,E1600,S,Control,2355,0.352,12.5,85.6796875,7.813,95,0.4,2.5,70,0.6,40
E1600S,E1600,S,Control,2356,0.645,10.9375,87.82421875,1.953,90,0.6,32,65,0,60
1800E,E1800,E,Control,2365,0.605,0.15625,98.84765625,2.344,100,0.4,0.390625,99,0,0
1800E,E1800,E,Control,2366,1.602,0.15625,96.7578125,5.469,85.7,2.2,0.78125,95,0,0
1800E,E1800,E,Control,2367,0.43,0.78125,98.4765625,0.977,100,0.4,0.5859375,98,0,0
1800E,E1800,E,Control,2368,0.434,0.05859375,98.64453125,2.93,46.7,4.4,0.1953125,94,0,0
